Index	Centroid Mass	Lower Bound	Upper Bound	Charge (z)	Height	Relative Intensity	Area	S/N Ratio	Resolution	Isotope Cluster Area
1	1000.611389	1000.22	1001.10	1	84	0.77	1244.03	19.92	4901.05	2399.45
2	1001.598267	1001.27	1002.07	1	120	1.10	1665.20	20.66	5392.77	1670.77
3	1005.573242	1005.24	1006.10	1	162	1.48	2260.38	36.19	5780.81	3812.25
4	1007.568726	1007.16	1008.07	1	157	1.44	1734.28	31.78	8504.90	2355.45
5	1009.572144	1009.18	1009.82	1	116	1.06	1330.82	22.44	6734.87	1997.14
6	1011.606812	1011.14	1012.09	1	70	0.65	1219.63	13.98	4122.93	1621.72
7	1012.628113	1012.22	1013.07	1	73	0.67	1115.42	11.27	4863.94	908.00
8	1013.597351	1013.17	1014.05	1	144	1.32	2374.72	30.54	4131.04	3595.94
9	1014.599304	1014.18	1015.13	1	127	1.17	1895.67	16.19	4384.91	1051.92
10	1015.596191	1015.28	1016.10	1	205	1.88	2380.10	39.98	6033.19	3054.50
11	1017.604614	1017.20	1017.67	1	95	0.87	906.05	10.33	7834.79	786.54
12	1017.751648	1017.67	1018.06	1	149	1.37	1091.89	28.21	13884.13	2059.88
13	1019.587891	1019.22	1019.69	1	74	0.67	834.62	10.98	6716.90	1155.48
14	1019.774536	1019.69	1020.22	1	103	0.95	876.24	15.95	9450.22	1074.29
15	1021.583862	1021.20	1022.08	1	92	0.85	1486.14	19.59	4701.58	2284.92
16	1023.559509	1023.10	1024.14	1	159	1.45	1716.77	35.43	7339.17	2876.67
17	1025.617920	1025.16	1026.08	1	61	0.56	1139.78	12.15	3915.13	1548.85
18	1027.592285	1027.08	1028.10	1	157	1.44	2238.25	35.99	4791.14	3976.01
19	1029.609863	1029.13	1030.12	1	219	2.01	2688.00	45.23	6125.32	3833.81
20	1031.623779	1031.26	1032.18	1	83	0.77	1419.70	15.47	3990.11	1635.51
21	1033.654419	1033.22	1034.11	1	83	0.77	1376.62	16.82	3451.98	1876.97
22	1034.659302	1034.11	1035.07	1	79	0.72	1321.55	12.25	4120.53	1096.32
23	1035.618164	1035.27	1036.13	1	969	8.89	6624.63	222.12	12313.18	11643.19
24	1037.608521	1037.15	1038.11	1	333	3.06	3138.51	56.56	8726.99	3032.89
25	1039.627808	1039.16	1040.10	1	86	0.79	1200.88	16.20	5263.68	1475.62
26	1041.679077	1041.28	1042.19	1	104	0.96	1385.57	21.44	5984.18	1956.83
27	1042.489746	1042.36	1042.58	1	124	1.14	789.13	19.35	12412.90	1352.29
28	1042.687378	1042.58	1043.18	1	159	1.46	1654.84	21.78	8707.13	1744.47
29	1043.639404	1043.54	1044.14	1	135	1.24	1824.77	15.10	5346.78	1940.29
30	1044.604858	1044.14	1045.07	1	82	0.75	1522.80	12.32	3300.19	1147.21
31	1045.649048	1045.19	1046.15	1	73	0.67	1418.02	12.56	2917.56	1440.15
32	1047.801636	1047.70	1048.10	1	201	1.84	1393.51	40.60	11414.35	2312.01
33	1049.587402	1049.16	1050.13	1	151	1.38	2392.97	33.79	4537.32	4106.77
34	1051.587646	1051.23	1052.09	1	140	1.28	1505.10	27.13	8631.87	1910.62
35	1053.617676	1053.25	1054.16	1	77	0.70	1153.15	14.89	5318.08	1487.33
36	1055.637329	1055.13	1056.09	1	73	0.67	1140.22	14.99	5016.11	1611.77
37	1056.705566	1056.21	1057.20	1	231	2.12	2404.96	48.98	7694.70	3615.91
38	1057.703491	1057.20	1058.08	1	207	1.90	2240.91	29.90	7681.48	1579.03
39	1058.694336	1058.18	1059.12	1	110	1.01	1514.96	14.74	6744.03	910.35
40	1059.223755	1059.12	1059.37	1	197	1.81	991.53	47.68	14986.46	2056.77
41	1059.645630	1059.37	1060.12	1	81	0.75	1368.10	13.54	4139.54	1474.17
42	1060.224365	1060.12	1060.39	1	212	1.94	1057.48	29.79	15104.97	724.96
43	1061.223145	1061.12	1061.40	1	206	1.89	1065.45	36.08	15066.79	1109.33
44	1061.657349	1061.40	1062.11	1	67	0.61	1031.31	11.41	4037.65	1140.66
45	1065.594238	1065.33	1066.11	1	85	0.78	1233.08	18.70	5186.78	2080.09
46	1067.589722	1067.12	1068.14	1	163	1.50	1853.46	34.04	6880.96	2674.21
47	1069.646973	1069.25	1070.09	1	72	0.66	1091.60	14.19	4486.71	1426.45
48	1070.716797	1070.19	1071.13	1	220	2.02	2262.74	48.38	7445.94	3667.27
49	1072.703247	1072.30	1073.06	1	86	0.79	1086.66	11.66	5994.26	673.28
50	1075.523315	1075.36	1075.69	1	74	0.68	725.18	10.99	6560.45	1078.17
51	1075.792114	1075.69	1076.09	1	128	1.18	856.36	25.62	14423.71	1618.10
52	1077.808472	1077.71	1078.08	1	99	0.90	680.64	15.16	12613.44	777.39
53	1079.644775	1079.37	1080.16	1	831	7.62	5397.52	201.76	13006.54	10662.96
54	1081.649414	1081.13	1082.13	1	332	3.05	3168.56	56.94	7932.74	3133.19
55	1083.648682	1083.30	1084.16	1	121	1.11	1550.37	24.36	5701.51	2134.82
56	1084.704590	1084.30	1085.19	1	159	1.46	1853.02	28.71	6567.55	2047.19
57	1085.538208	1085.40	1085.63	1	160	1.46	1049.04	22.52	10805.26	1590.54
58	1085.714600	1085.63	1086.10	1	188	1.72	1578.51	20.31	10223.19	1169.10
59	1086.710571	1086.61	1087.15	1	113	1.04	1095.58	11.11	8592.99	682.94
60	1087.657715	1087.15	1088.17	1	71	0.65	1138.15	12.19	3993.77	1118.40
61	1089.513428	1089.39	1090.10	1	321	2.94	2736.23	72.77	10991.74	4775.56
62	1093.627319	1093.27	1094.10	1	103	0.94	1223.96	21.06	6510.90	1777.64
63	1094.720947	1094.34	1095.12	1	232	2.13	2353.84	47.06	7320.78	3269.06
64	1095.685181	1095.26	1096.07	1	163	1.49	2196.93	24.30	4734.10	1666.99
65	1097.643799	1097.40	1098.16	1	191	1.75	2077.48	41.90	6864.04	3406.94
66	1098.661865	1098.39	1099.24	1	241	2.21	3153.83	45.87	5181.48	3866.96
