Centroid Mass	Relative Intensity
499.984756	18.058
500.000024	13.1963
500.015293	14.5853
500.030563	16.3217
500.045832	17.3635
500.061102	8.68175
500.076371	6.25086
500.091642	11.8072
500.106912	19.7944
500.122183	23.2671
500.137453	25.0035
500.152724	26.7398
500.167996	20.4889
500.183267	20.8362
500.198539	22.5726
500.213811	18.7526
500.229083	8.68176
500.244356	12.1545
500.259628	21.5308
500.274901	28.4762
500.290174	17.3635
500.305448	12.849
500.320721	10.4181
500.335995	11.1126
500.351269	22.2253
500.366544	26.7398
500.381818	29.8652
500.397093	30.907
500.412368	16.669
500.427643	8.33449
500.442919	14.2381
500.458194	18.7526
500.473470	15.6272
500.488747	11.1126
500.504023	6.25086
500.519300	2.77816
500.534577	3.4727
500.549854	5.20905
500.565131	12.1545
500.580409	11.1126
500.595686	6.25086
500.610964	10.4181
500.626243	13.8908
500.641521	10.4181
500.656800	1.73635
500.672079	6.59813
500.687358	8.68175
500.702638	4.51451
500.717917	4.51451
500.733197	6.25086
500.748477	7.98721
500.763758	11.1126
500.779038	14.9326
500.794319	20.4889
500.809600	14.9326
500.824882	11.4599
500.840163	14.5853
500.855445	9.3763
500.870727	6.59813
500.886009	7.29267
500.901292	18.058
500.916574	28.4762
500.931857	21.5308
500.947141	14.9326
500.962424	6.59813
500.977708	4.51451
500.992991	14.9326
501.008276	20.4889
501.023560	13.1963
501.038844	15.6272
501.054129	30.2125
501.069414	41.6724
501.084700	37.5052
501.099985	28.4762
501.115271	12.1545
501.130557	6.25087
501.145843	8.68176
501.161129	18.0581
501.176416	22.9198
501.191703	33.3379
501.206990	38.547
501.222278	27.4343
501.237565	15.6272
501.252853	11.4599
501.268141	10.4181
501.283429	18.7526
501.298718	26.3925
501.314007	34.3797
501.329296	25.0035
501.344585	8.68176
501.359874	7.98722
501.375164	21.5308
501.390454	24.3089
501.405744	21.5308
501.421035	15.6272
501.436325	13.1963
501.451616	7.98722
501.466907	11.1126
501.482199	10.4181
501.497490	8.33449
501.512782	11.1126
501.528074	7.29267
501.543366	10.4181
501.558659	29.8652
501.573951	22.5726
501.589244	13.8908
501.604538	20.8362
501.619831	23.9616
501.635125	21.5308
501.650419	12.1545
501.665713	8.68176
501.681007	11.1126
501.696302	16.3217
501.711596	25.3507
501.726892	25.0035
501.742187	11.8072
501.757482	6.25086
501.772778	11.1126
501.788074	14.5853
501.803370	30.907
501.818667	36.8106
501.833964	16.669
501.849260	11.4599
501.864558	14.9326
