Centroid Mass	Relative Intensity
499.996674	11.3002
500.011952	10.0161
500.027230	12.0706
500.042509	14.1252
500.057787	13.0979
500.073066	9.75924
500.088345	11.0433
500.103625	12.5843
500.118904	13.6116
500.134184	14.6389
500.149464	8.73195
500.164744	5.90691
500.180025	6.42055
500.195306	9.24559
500.210587	10.7865
500.225868	13.8684
500.241149	15.923
500.256431	15.4093
500.271713	11.8138
500.286995	13.8684
500.302278	14.6389
500.317560	11.0433
500.332843	10.7865
500.348126	14.8957
500.363409	19.5185
500.378693	18.748
500.393977	21.0594
500.409261	19.5185
500.424545	19.0048
500.439830	21.3162
500.455114	23.3708
500.470399	21.3162
500.485684	20.0321
500.500970	19.7753
500.516255	24.9117
500.531541	23.6276
500.546827	19.7753
500.562114	15.923
500.577400	17.7207
500.592687	22.0867
500.607974	28.7641
500.623262	21.0594
500.638549	18.2344
500.653837	18.4912
500.669125	20.2889
500.684413	22.8572
500.699702	20.8026
500.714990	16.9503
500.730279	19.5185
500.745568	17.4639
500.760858	17.2071
500.776147	24.1413
500.791437	20.5458
500.806727	12.5843
500.822018	10.7865
500.837308	5.39326
500.852599	4.6228
500.867890	11.3002
500.883181	16.1798
500.898473	16.1798
500.913764	13.0979
500.929056	8.2183
500.944349	8.2183
500.959641	12.3275
500.974934	14.382
500.990227	15.923
501.005520	14.6389
501.020813	13.3547
501.036107	8.98877
501.051400	14.6389
501.066694	18.2344
501.081989	17.4639
501.097283	14.382
501.112578	14.8957
501.127873	23.3708
501.143168	24.6549
501.158464	18.4912
501.173759	12.0706
501.189055	7.19102
501.204351	8.73195
501.219648	11.3002
501.234944	12.8411
501.250241	16.9503
501.265538	21.8299
501.280836	29.2777
501.296133	29.2777
501.311431	21.573
501.326729	24.6549
501.342027	23.3708
501.357326	24.3981
501.372625	21.8299
501.387924	20.5458
501.403223	17.4639
501.418522	21.573
501.433822	23.6276
501.449122	27.2231
501.464422	28.2504
501.479722	31.5891
501.495023	37.496
501.510324	44.687
501.525625	43.6597
501.540926	34.9278
501.556227	26.7095
501.571529	27.48
501.586831	34.1573
501.602133	39.0369
501.617436	32.6164
501.632739	19.5185
501.648041	21.5731
501.663345	27.2231
501.678648	28.7641
501.693952	21.5731
501.709256	20.2889
501.724560	22.8572
501.739864	23.6276
501.755168	13.6116
501.770473	16.6934
501.785778	21.0594
501.801084	23.114
501.816389	17.9775
501.831695	21.3162
501.847001	23.6276
501.862307	28.2504
501.877613	22.6003
501.892920	21.5731
501.908227	17.2071
501.923534	18.748
501.938841	20.8026
501.954149	20.0321
501.969457	18.4912
501.984765	24.6549
502.000073	28.7641
502.015382	16.4366
502.030690	11.3002
502.045999	13.6116
502.061309	13.6116
502.076618	10.5297
502.091928	10.7865
502.107238	12.3275
502.122548	11.557
502.137858	11.8138
502.153169	15.1525
502.168480	13.8684
502.183791	20.2889
502.199102	21.0594
502.214414	29.0209
502.229726	30.0482
502.245038	23.8844
502.260350	21.5731
502.275662	19.5185
502.290975	30.0482
502.306288	33.13
502.321601	27.48
502.336915	22.0867
502.352228	17.2071
502.367542	20.2889
502.382856	23.6276
502.398171	30.0482
502.413485	35.4414
502.428800	29.7914
502.444115	28.5072
502.459430	32.3596
502.474746	42.3756
502.490062	46.4848
502.505378	42.6325
502.520694	44.9439
502.536010	36.7255
502.551327	29.2777
502.566644	29.7914
502.581961	32.1028
502.597279	35.4414
502.612596	38.2665
502.627914	41.0915
502.643232	35.1846
502.658550	25.1686
502.673869	24.6549
502.689188	21.8299
502.704507	22.0867
502.719826	28.5072
502.735146	33.13
502.750465	36.7255
502.765785	32.3596
502.781105	27.7368
502.796426	18.4912
502.811747	16.4366
502.827067	27.2231
502.842389	32.6164
502.857710	25.4254
502.873031	15.6661
502.888353	13.0979
502.903675	25.4254
502.918998	23.8844
502.934320	18.748
502.949643	15.923
502.964966	19.5185
502.980289	23.8844
502.995613	27.9936
503.010936	28.5072
503.026260	28.5072
503.041584	29.2777
503.056909	23.8844
503.072233	20.2889
503.087558	15.6661
503.102883	11.0433
503.118209	16.6934
503.133534	24.6549
503.148860	31.8459
503.164186	30.0482
503.179512	23.8844
503.194839	30.305
503.210166	27.2231
503.225493	30.8186
503.240820	34.671
503.256147	37.496
503.271475	36.2119
503.286803	39.8074
503.302131	43.4029
503.317459	41.3483
503.332788	44.4302
503.348117	49.3098
503.363446	50.0803
503.378775	50.0803
503.394104	47.2552
503.409434	42.8893
503.424764	42.6325
503.440094	34.1573
503.455425	26.9663
503.470756	28.7641
503.486087	38.2665
503.501418	47.7689
503.516749	48.5394
503.532081	39.0369
503.547413	35.4414
503.562745	41.6052
503.578077	60.0963
503.593410	59.8395
503.608742	47.7689
503.624075	39.5506
503.639409	33.13
503.654742	31.0755
503.670076	33.9005
503.685410	29.0209
503.700744	24.9117
503.716078	25.939
503.731413	26.4527
503.746748	34.9278
503.762083	38.5233
503.777418	42.3756
503.792754	46.9984
503.808090	39.2938
503.823426	36.7255
503.838762	34.9278
503.854099	24.6549
503.869436	21.3162
503.884773	21.0594
503.900110	23.114
503.915447	32.6164
503.930785	36.9824
503.946123	34.9278
503.961461	34.671
503.976799	30.0482
503.992138	34.1573
504.007477	29.7914
504.022816	30.0482
504.038155	39.8074
504.053495	39.2938
504.068835	37.496
504.084175	29.7914
504.099515	29.0209
504.114855	26.9663
504.130196	29.2777
504.145537	33.6437
504.160878	29.0209
504.176220	23.114
504.191561	22.0867
504.206903	21.8299
504.222245	23.3708
504.237588	26.1959
504.252930	34.1573
504.268273	41.0915
504.283616	42.8893
504.298960	41.0915
504.314303	42.3756
504.329647	44.687
504.344991	45.2007
504.360335	44.1734
504.375680	34.9278
504.391024	32.3596
504.406369	40.8347
504.421714	46.7416
504.437060	57.2713
504.452405	58.0418
504.467751	49.3098
504.483097	41.6052
